module_name,test,seed,rtl_version,git_commit,j,k,rst,q,result,fail_count,fail_percentage,runtime_seconds,test_runtime,coverage,testcase_id,pass_fail,simulation_time,compile_time,memory_usage,error_count,warning_count,pass_count,rolling_mean_coverage,coverage_gain,efficiency_score,efficiency_score_normalized,cumulative_runs,cumulative_passes,pass_rate,failure_rate,is_redundant,redundancy_reason,base_score,final_score,priority_rank,action
jk_ff,test,42,v1.0,commit_001,0,0,1,0,PASS,0,20.00,145.0,0.00,100.0,jk_ff_test_seed42,1,150,0.12,0.4,1,1,5,98.0,2.0,0.013793103448275862,0.015047021943573668,15,6,0.4,0.6,False,,0.2475910296599952,0.2475910296599952,4,run_first
jk_ff,test,39,v1.0,commit_001,0,1,1,0,PASS,0,20.00,145.0,0.00,100.0,jk_ff_test_seed39,1,150,0.12,0.4,1,1,5,98.0,2.0,0.013793103448275862,0.015047021943573668,15,4,0.26666666666666666,0.7333333333333334,False,,0.20759102965999515,0.20759102965999515,7,run_first
jk_ff,test,30,v1.0,commit_001,0,0,0,0,RESET,0,20.00,145.0,0.00,100.0,jk_ff_test_seed30,0,150,0.12,0.4,1,1,5,98.0,2.0,0.013793103448275862,0.015047021943573668,15,4,0.26666666666666666,0.7333333333333334,False,,0.20759102965999515,0.20759102965999515,8,run_first
jk_ff,test,24,v1.0,commit_001,0,1,0,0,RESET,0,20.00,145.0,0.00,100.0,jk_ff_test_seed24,0,150,0.12,0.4,1,1,5,98.5,1.5,0.010344827586206896,0.011285266457680252,15,5,0.3333333333333333,0.6666666666666667,False,,0.19569327224499639,0.19569327224499639,11,run_first
jk_ff,test,49,v1.0,commit_001,0,1,1,0,PASS,0,26.67,145.0,0.00,100.0,jk_ff_test_seed49,1,150,0.12,0.4,1,1,5,98.0,2.0,0.013793103448275862,0.015047021943573668,15,3,0.2,0.8,False,,0.1875910296599952,0.1875910296599952,12,run_first
jk_ff,test,5,v1.0,commit_001,1,1,0,0,RESET,0,13.33,145.0,0.00,100.0,jk_ff_test_seed5,0,150,0.12,0.4,1,1,5,98.5,1.5,0.010344827586206896,0.011285266457680252,15,4,0.26666666666666666,0.7333333333333334,False,,0.17569327224499637,0.17569327224499637,13,run_first
jk_ff,test,4,v1.0,commit_001,0,0,1,1,PASS,0,20.00,145.0,0.00,100.0,jk_ff_test_seed4,1,150,0.12,0.4,1,1,5,99.0,1.0,0.006896551724137931,0.007523510971786834,15,5,0.3333333333333333,0.6666666666666667,False,,0.16379551482999757,0.16379551482999757,15,run_early
jk_ff,test,13,v1.0,commit_001,0,0,1,0,PASS,0,26.67,145.0,0.00,100.0,jk_ff_test_seed13,1,150,0.12,0.4,1,1,5,99.0,1.0,0.006896551724137931,0.007523510971786834,15,5,0.3333333333333333,0.6666666666666667,False,,0.16379551482999757,0.16379551482999757,17,run_early
jk_ff,test,47,v1.0,commit_001,0,1,0,0,RESET,0,20.00,145.0,0.00,100.0,jk_ff_test_seed47,0,150,0.12,0.4,1,1,5,98.5,1.5,0.010344827586206896,0.011285266457680252,15,3,0.2,0.8,False,,0.15569327224499638,0.15569327224499638,18,run_early
jk_ff,test,8,v1.0,commit_001,0,1,0,0,RESET,0,20.00,145.0,0.00,100.0,jk_ff_test_seed8,0,150,0.12,0.4,1,1,5,99.0,1.0,0.006896551724137931,0.007523510971786834,15,4,0.26666666666666666,0.7333333333333334,False,,0.14379551482999758,0.14379551482999758,20,run_early
jk_ff,test,40,v1.0,commit_001,0,0,0,0,RESET,0,26.67,145.0,0.00,100.0,jk_ff_test_seed40,0,150,0.12,0.4,1,1,5,99.5,0.5,0.0034482758620689655,0.003761755485893417,15,5,0.3333333333333333,0.6666666666666667,False,,0.13189775741499876,0.13189775741499876,23,run_early
jk_ff,test,3,v1.0,commit_001,0,0,1,0,PASS,0,26.67,145.0,0.00,100.0,jk_ff_test_seed3,1,150,0.12,0.4,1,1,5,100.0,0.0,0.0,0.0,15,5,0.3333333333333333,0.6666666666666667,False,,0.09999999999999998,0.09999999999999998,32,run_normal
jk_ff,test,44,v1.0,commit_001,1,0,0,0,RESET,0,20.00,145.0,0.00,100.0,jk_ff_test_seed44,0,150,0.12,0.4,1,1,5,100.0,0.0,0.0,0.0,15,4,0.26666666666666666,0.7333333333333334,False,,0.07999999999999997,0.07999999999999997,35,run_normal
jk_ff,test,29,v1.0,commit_001,0,1,0,0,RESET,0,13.33,145.0,0.00,100.0,jk_ff_test_seed29,0,150,0.12,0.4,1,1,5,100.0,0.0,0.0,0.0,15,3,0.2,0.8,False,,0.059999999999999984,0.059999999999999984,44,run_late
jk_ff,test,41,v1.0,commit_001,0,1,0,0,RESET,0,33.33,145.0,0.00,100.0,jk_ff_test_seed41,0,150,0.12,0.4,1,1,5,100.0,0.0,0.0,0.0,15,2,0.13333333333333333,0.8666666666666667,False,,0.03999999999999999,0.03999999999999999,49,run_late
jk_ff,test,45,v1.0,commit_001,0,1,0,0,RESET,0,6.67,145.0,0.00,97.5,jk_ff_test_seed45,0,150,0.12,0.4,1,1,5,91.5,6.0,0.041379310344827586,0.04514106583072101,15,5,0.3333333333333333,0.6666666666666667,False,,0.48277308897998555,0.48277308897998555,1,run_first
jk_ff,test,16,v1.0,commit_001,0,1,0,0,RESET,0,26.67,145.0,0.00,97.5,jk_ff_test_seed16,0,150,0.12,0.4,1,1,5,91.0,6.5,0.04482758620689655,0.04890282131661442,15,3,0.2,0.8,False,,0.47467084639498436,0.47467084639498436,2,run_first
jk_ff,test,23,v1.0,commit_001,1,1,1,1,FAIL,0,20.00,145.0,0.00,97.5,jk_ff_test_seed23,0,150,0.12,0.4,1,1,5,95.5,2.0,0.013793103448275862,0.015047021943573668,15,5,0.3333333333333333,0.6666666666666667,False,,0.22759102965999517,0.22759102965999517,5,run_first
jk_ff,test,33,v1.0,commit_001,1,0,1,0,FAIL,0,26.67,145.0,0.00,97.5,jk_ff_test_seed33,0,150,0.12,0.4,1,1,5,95.5,2.0,0.013793103448275862,0.015047021943573668,15,5,0.3333333333333333,0.6666666666666667,False,,0.22759102965999517,0.22759102965999517,6,run_first
